nom_ecole,email,telephone,site_internet,adresse,nom_personne,prenom_personne,url_source
BDE LA FAYETTE,contact@bde-lafayette.fr,714285705,https://bde-lafayette.fr/,,,,https://www.helloasso.com/associations/bde-la-fayette
BDE ESEODUC,eseoduc@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-eseoduc
Bde Kapitole,bde.kpitole@gmail.com,714285705,https://bde.kpitole/,,,,https://www.helloasso.com/associations/bde-kapitole
association des élèves de l'institut de formation des éducateurs de normandie,bdeifen76@gmail.com,714285705,,,,,https://www.helloasso.com/associations/association-des-eleves-de-l-institut-de-formation-des-educateurs-de-normandie
BDE ISM-IAE,bde.ism.iae@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-ism-iae
CAMPULSE BDE,campulse.bde@gmail.com,714285705,,,,,https://www.helloasso.com/associations/campulse-bde
BDEI Clermont-Ferrand,bdei.clermont@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bdei-clermont-ferrand
BDE ASCENCIA,BDE.ascenciasqy@outlook.com,714285705,,,,,https://www.helloasso.com/associations/bde-ascencia
LES ÉLÈVES DU CESI DE MONTPELLIER,bde_montpellier@viacesi.fr,714285705,,,,,https://www.helloasso.com/associations/les-eleves-du-cesi-de-montpellier
AECIR,BDE_rouen@inema-sup.fr,714285705,,,,,https://www.helloasso.com/associations/aecir
BDE Iscomien La Tornade,charline.euzenot@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-iscomien-la-tornade
BDE ECOFAC LAVAL,bde.53.ecofac@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-ecofac-laval
BDE CCI Indre,bde.ccicampuscentre@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-cci-indre
BDE STELLAR,bdestellar@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-stellar
CAEN MUNITY,bde.5.mousquetaires@gmail.com,714285705,,,,,https://www.helloasso.com/associations/caen-munity
Bureau Des Étudiants de l’IUT GMP,bdegmp.univrennes1@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bureau-des-etudiants-de-l-iut-gmp
OMEGA TC,bde.omegatc@gmail.com,714285705,,,,,https://www.helloasso.com/associations/omega-tc
CSEA,bde.csea@gmail.com,714285705,,,,,https://www.helloasso.com/associations/csea
BDE IFSI CHICAS Gap,bdeifsigap@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-ifsi-chicas-gap
BDE IFSI VICHY,bde.ifsi.vichy@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-ifsi-vichy
BDE IRIS,bde@iris-sup.org,714285705,,,,,https://www.helloasso.com/associations/bde-iris
BDE Flaubert Sup,bde.flaubertsup@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-flaubert-sup
BDE MASTERES ESSEC,b00806254@essec.edu,714285705,,,,,https://www.helloasso.com/associations/bde-masteres-essec
BDE Montesquieu,bdemontesquieu@lyc-montesquieu-72.fr,714285705,,,,,https://www.helloasso.com/associations/bde-montesquieu
EPHESE - École Pratique des Hautes Études Synergie Étudiante,ephese@ephe.psl.eu,714285705,,,,,https://www.helloasso.com/associations/ephese-ecole-pratique-des-hautes-etudes-synergie-etudiante
bisoudelille,bdeisolille25@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bisoudelille
BDE PHOENAIX,bdephoenaix@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-phoenaix
BDE Ynov Toulouse,ynovbdetoulouse@gmail.com,714285705,https://bde.ynovtoulouse.com/,,,,https://www.helloasso.com/associations/bde-ynov-toulouse
BDE GMP III,gmpbde3@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-gmp-iii
BDE AOC,bdeaoc2023@gmail.com,714285705,,,,,https://www.helloasso.com/associations/bde-aoc
BDE AOC,bdeaoc2023@gmail.com,714285705,,,,,mailto:?subject=Je%20vous%20invite%20%C3%A0%20inscrire%20votre%20organisme%20sur%20HelloAsso.&body=Bonjour!%20Saviez-vous%20que%20le%20site%20helloasso.com%20r%C3%A9f%C3%A9rence%20les%20activit%C3%A9s%20associatives%20dans%20toute%20la%20France%20et%20les%20DOM-TOM?%20Je%20vous%20recommande%20d%27inscrire%20votre%20organisme%20pour%20lui%20faire%20b%C3%A9n%C3%A9ficier%20de%20cette%20visibilit%C3%A9%20en%20ligne.%20Rendez-vous%20sur%20https://www.helloasso.com/associations/%20pour%20d%C3%A9couvrir%20la%20plateforme%20gratuite%20d%C3%A9di%C3%A9e%20aux%20associations.
