nom_ecole,nom_personne,prenom_personne,adresse,site_internet,telephone,email,url_source
EPHESE - École Pratique des Hautes Études Synergie Étudiante,,,"rue"" focusable=""false""><path d=""M21.662 2.821C18.866.025 11.663-.252 5.124 5.422-.987 10.725-.89 17.107 3.87 20.613c4.443 3.272 10.542 3.802 15.191-1.256 5.648-6.144 5.399-13.74 2.601-16.536z""></path><path fill=""#FFF"" d=""M8.104 14.644a.567.567 0 01-.804 0h-.001l-2.53-2.529a.57.57 0 01.805-.807l2.128 2.127 6.186-6.185a.57.57 0 01.805.805l-6.589 6.589zm4.895-1.92a.546.546 0 01-.387-.93l4.047-4.047a.549.549 0 01.774 0 .549.549 0 010 .774l-4.046 4.047a.545.545 0 01-.388.156zm4.964 1.236l-1.593 1.591a.544.544 0 01-.773 0 .549.549 0 010-.774l1.594-1.594a.547.547 0 11.79.755l-.016.017-.002.005zm0-2.985l-3.085 3.084a.549.549 0 01-.774-.775l3.087-3.087a.549.549 0 01.774.775l-.002.003z""></path></svg></span></span></span></button></div></div><!--googleon: index--><div id=""__nuxt""><div id=""LayoutDefault"" class=""Layout Layout-Default""><div class=""HaToaster"" aria-atomic=""true"" data-test=""ha-toaster"" data-v-339a179c=""""><!----></div><header class=""header"" data-v-a0874238=""""><div class=""header__inner"" data-v-a0874238=""""><nav class=""header__navbar"" data-v-a0874238=""""><div class=""nav__start"" data-v-a0874238=""""><a href=""/"" class=""logo"" data-v-a0874238="""" data-v-095c0d77=""""><span class=""visually-hidden"" data-v-095c0d77=""""> Page d'accueil HelloAsso </span><picture data-test=""ha-logo"" data-v-095c0d77=""""><source media=""(max-width: 360px)"" srcset=""https://cdn.helloasso.com/images/header_public/badge-helloasso.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""><img src=""https://cdn.helloasso.com/images/header_public/logo-helloasso1.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""></picture></a><button class=""searchBtn"" data-test=""header-searchBtn"" data-v-a0874238="""" data-v-20c8d796=""""><span class=""searchBtn__fakeInput"" data-v-20c8d796=""""><span data-v-20c8d796=""""><span class=""visually-hidden"" data-v-20c8d796="""">Rechercher</span> Une association",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,ephese@ephe.psl.eu,https://www.helloasso.com/associations/ephese-ecole-pratique-des-hautes-etudes-synergie-etudiante
Bureau Des Étudiants de l’IUT GMP,,,"3 Rue du Clos Courtel<br data-v-308d7c79=""""> 35700 Rennes</p></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Email""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""email"" class=""Info--Label"">Email</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowEmail"" data-test-id=""Explore_OrganizationPublicPage_Contact_ShowEmail"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher l'email</button></div></div><!----></div><!----><!----><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ContactUs"" class=""HaButton-Primary HaButton-Fill HaButton-Medium HaButton-Fluid HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Contacter l'organisme</button></div><div data-v-b9b4aa75=""""><h4>Suivez-nous !</h4><a data-v-69e27402="""" href=""https://www.instagram.com/bdegmp.rennes/"" target=""_blank"" rel=""noreferrer noopener"" class=""social-item social-item--website"" data-ux=""Explore_OrganizationPublicPage_Contact_socialWebSite"" title=""Aller sur notre site officiel: https://www.instagram.com/bdegmp.rennes/""><svg data-v-69e27402="""" class=""svg-inline--fa fa-desktop social-item-icon"" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""desktop"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-test=""ha-icon""><path class="""" fill=""currentColor"" d=""M64 0C28.7 0 0 28.7 0 64L0 352c0 35.3 28.7 64 64 64l176 0-10.7 32L160 448c-17.7 0-32 14.3-32 32s14.3 32 32 32l256 0c17.7 0 32-14.3 32-32s-14.3-32-32-32l-69.3 0L336 416l176 0c35.3 0 64-28.7 64-64l0-288c0-35.3-28.7-64-64-64L64 0zM512 64l0 224L64 288 64 64l448 0z""></path></svg><span data-v-69e27402="""" class=""social-item-label"">https://www.instagram.com/bdegmp.rennes/</span></a><!----><!----><!----><!----><!----></div></div></div></section><div data-v-5138f8a6="""" class=""Container volunteer""><h4 data-v-5138f8a6="""">Devenez bénévole</h4><p data-v-5138f8a6="""">Trouvez la mission de bénévolat qui vous correspond près de chez vous ou à distance parmi les milliers disponibles.</p><a data-v-965f8073="""" data-v-5138f8a6="""" class=""volunteer__btn HaButton-Primary HaButton-Fill HaButton-Medium HaButton volunteer__btn"" target=""_blank"" data-test=""ha-button"" type=""button"" href=""http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Je m'engage</a><p data-v-5138f8a6="""">par <img data-v-5138f8a6="""" alt="""" data-nuxt-img="""" srcset=""https://cdn.helloasso.com/images/partner/logo-jva.png?quality=80&amp;img_format=webp 1x",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bdegmp.univrennes1@gmail.com,https://www.helloasso.com/associations/bureau-des-etudiants-de-l-iut-gmp
BDE CCI Indre,,,"2 Allée Jean Vaillé<br data-v-308d7c79=""""> 36000 Châteauroux</p></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Email""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""email"" class=""Info--Label"">Email</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowEmail"" data-test-id=""Explore_OrganizationPublicPage_Contact_ShowEmail"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher l'email</button></div></div><!----></div><!----><!----><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ContactUs"" class=""HaButton-Primary HaButton-Fill HaButton-Medium HaButton-Fluid HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Contacter l'organisme</button></div><!----></div></div></section><div data-v-5138f8a6="""" class=""Container volunteer""><h4 data-v-5138f8a6="""">Devenez bénévole</h4><p data-v-5138f8a6="""">Trouvez la mission de bénévolat qui vous correspond près de chez vous ou à distance parmi les milliers disponibles.</p><a data-v-965f8073="""" data-v-5138f8a6="""" class=""volunteer__btn HaButton-Primary HaButton-Fill HaButton-Medium HaButton volunteer__btn"" target=""_blank"" data-test=""ha-button"" type=""button"" href=""http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Je m'engage</a><p data-v-5138f8a6="""">par <img data-v-5138f8a6="""" alt="""" data-nuxt-img="""" srcset=""https://cdn.helloasso.com/images/partner/logo-jva.png?quality=80&amp;img_format=webp 1x",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bde.ccicampuscentre@gmail.com,https://www.helloasso.com/associations/bde-cci-indre
BDE GMP III,,,"9 Rue de Quebec</p><p class=""Data Data-City""><span>10000</span><span>Troyes</span></p><!----><!--]--></div><!----><span class=""ActionDetails--FakeCta"">Je participe <svg class=""svg-inline--fa fa-chevron-right"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""chevron-right"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 320 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M310.6 233.4c12.5 12.5 12.5 32.8 0 45.3l-192 192c-12.5 12.5-32.8 12.5-45.3 0s-12.5-32.8 0-45.3L242.7 256 73.4 86.6c-12.5-12.5-12.5-32.8 0-45.3s32.8-12.5 45.3 0l192 192z""></path></svg></span></div><span class=""visually-hidden"">Je participe à Repart départ 3e année </span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></a><div class=""HaDropdown"" data-v-eda63c17=""""><div class=""HaDropdown--Trigger"" data-test=""ha-dropdown-trigger"" data-v-eda63c17=""""><!--[--><button class=""ActionShare"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent1_Toggle_ShareLinks"" aria-haspopup=""true"" aria-expanded=""false""><svg class=""svg-inline--fa fa-share-nodes"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""share-nodes"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 448 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M352 224c53 0 96-43 96-96s-43-96-96-96s-96 43-96 96c0 4 .2 8 .7 11.9l-94.1 47C145.4 170.2 121.9 160 96 160c-53 0-96 43-96 96s43 96 96 96c25.9 0 49.4-10.2 66.6-26.9l94.1 47c-.5 3.9-.7 7.8-.7 11.9c0 53 43 96 96 96s96-43 96-96s-43-96-96-96c-25.9 0-49.4 10.2-66.6 26.9l-94.1-47c.5-3.9 .7-7.8 .7-11.9s-.2-8-.7-11.9l94.1-47C302.6 213.8 326.1 224 352 224z""></path></svg><span class=""visually-hidden"">Partager cette action</span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></button><!--]--></div><div class=""HaDropdown--Wrapper"" data-test=""ha-dropdown-wrapper"" data-v-eda63c17=""""><!----></div></div></div></li><li class=""Action""><div class=""ActionWrapper""><a href=""https://www.helloasso.com/associations/bde-gmp-iii/evenements/soiree-gmp-7-05"" target=""_blank"" rel=""noreferrer noopener"" class=""ActionLink ActionLink-Event"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent2""><div class=""ActionImage""><img onerror=""this.setAttribute('data-error'",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,gmpbde3@gmail.com,https://www.helloasso.com/associations/bde-gmp-iii
BDE Ecole Navale,,,"105 Rue du Faubourg du Temple</p><p class=""Data Data-City""><span>75010</span><span>Paris</span></p><!----><!--]--></div><!----><span class=""ActionDetails--FakeCta"">Je participe <svg class=""svg-inline--fa fa-chevron-right"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""chevron-right"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 320 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M310.6 233.4c12.5 12.5 12.5 32.8 0 45.3l-192 192c-12.5 12.5-32.8 12.5-45.3 0s-12.5-32.8 0-45.3L242.7 256 73.4 86.6c-12.5-12.5-12.5-32.8 0-45.3s32.8-12.5 45.3 0l192 192z""></path></svg></span></div><span class=""visually-hidden"">Je participe à Soirée EAE/EN/ECA SIGEM 2025 </span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></a><div class=""HaDropdown"" data-v-eda63c17=""""><div class=""HaDropdown--Trigger"" data-test=""ha-dropdown-trigger"" data-v-eda63c17=""""><!--[--><button class=""ActionShare"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent1_Toggle_ShareLinks"" aria-haspopup=""true"" aria-expanded=""false""><svg class=""svg-inline--fa fa-share-nodes"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""share-nodes"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 448 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M352 224c53 0 96-43 96-96s-43-96-96-96s-96 43-96 96c0 4 .2 8 .7 11.9l-94.1 47C145.4 170.2 121.9 160 96 160c-53 0-96 43-96 96s43 96 96 96c25.9 0 49.4-10.2 66.6-26.9l94.1 47c-.5 3.9-.7 7.8-.7 11.9c0 53 43 96 96 96s96-43 96-96s-43-96-96-96c-25.9 0-49.4 10.2-66.6 26.9l-94.1-47c.5-3.9 .7-7.8 .7-11.9s-.2-8-.7-11.9l94.1-47C302.6 213.8 326.1 224 352 224z""></path></svg><span class=""visually-hidden"">Partager cette action</span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></button><!--]--></div><div class=""HaDropdown--Wrapper"" data-test=""ha-dropdown-wrapper"" data-v-eda63c17=""""><!----></div></div></div></li><li class=""Action""><div class=""ActionWrapper""><a href=""https://www.helloasso.com/associations/bde-ecole-navale/evenements/bord-promo-3"" target=""_blank"" rel=""noreferrer noopener"" class=""ActionLink ActionLink-Event"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent2""><div class=""ActionImage""><img onerror=""this.setAttribute('data-error'",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bde-ecole-navale@outlook.fr,https://www.helloasso.com/associations/bde-ecole-navale
BDE Iscomien La Tornade,,,"rue"" focusable=""false""><path d=""M21.662 2.821C18.866.025 11.663-.252 5.124 5.422-.987 10.725-.89 17.107 3.87 20.613c4.443 3.272 10.542 3.802 15.191-1.256 5.648-6.144 5.399-13.74 2.601-16.536z""></path><path fill=""#FFF"" d=""M8.104 14.644a.567.567 0 01-.804 0h-.001l-2.53-2.529a.57.57 0 01.805-.807l2.128 2.127 6.186-6.185a.57.57 0 01.805.805l-6.589 6.589zm4.895-1.92a.546.546 0 01-.387-.93l4.047-4.047a.549.549 0 01.774 0 .549.549 0 010 .774l-4.046 4.047a.545.545 0 01-.388.156zm4.964 1.236l-1.593 1.591a.544.544 0 01-.773 0 .549.549 0 010-.774l1.594-1.594a.547.547 0 11.79.755l-.016.017-.002.005zm0-2.985l-3.085 3.084a.549.549 0 01-.774-.775l3.087-3.087a.549.549 0 01.774.775l-.002.003z""></path></svg></span></span></span></button></div></div><!--googleon: index--><div id=""__nuxt""><div id=""LayoutDefault"" class=""Layout Layout-Default""><div class=""HaToaster"" aria-atomic=""true"" data-test=""ha-toaster"" data-v-339a179c=""""><!----></div><header class=""header"" data-v-a0874238=""""><div class=""header__inner"" data-v-a0874238=""""><nav class=""header__navbar"" data-v-a0874238=""""><div class=""nav__start"" data-v-a0874238=""""><a href=""/"" class=""logo"" data-v-a0874238="""" data-v-095c0d77=""""><span class=""visually-hidden"" data-v-095c0d77=""""> Page d'accueil HelloAsso </span><picture data-test=""ha-logo"" data-v-095c0d77=""""><source media=""(max-width: 360px)"" srcset=""https://cdn.helloasso.com/images/header_public/badge-helloasso.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""><img src=""https://cdn.helloasso.com/images/header_public/logo-helloasso1.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""></picture></a><button class=""searchBtn"" data-test=""header-searchBtn"" data-v-a0874238="""" data-v-20c8d796=""""><span class=""searchBtn__fakeInput"" data-v-20c8d796=""""><span data-v-20c8d796=""""><span class=""visually-hidden"" data-v-20c8d796="""">Rechercher</span> Une association",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,charline.euzenot@gmail.com,https://www.helloasso.com/associations/bde-iscomien-la-tornade
BDE MASTERES ESSEC,,,"3 Avenue Bernard Hirsch</p><p class=""Data Data-City""><span>95000</span><span>Cergy</span></p><!----><!--]--></div><!----><span class=""ActionDetails--FakeCta"">Je participe <svg class=""svg-inline--fa fa-chevron-right"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""chevron-right"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 320 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M310.6 233.4c12.5 12.5 12.5 32.8 0 45.3l-192 192c-12.5 12.5-32.8 12.5-45.3 0s-12.5-32.8 0-45.3L242.7 256 73.4 86.6c-12.5-12.5-12.5-32.8 0-45.3s32.8-12.5 45.3 0l192 192z""></path></svg></span></div><span class=""visually-hidden"">Je participe à Séminaire Sustainable Travelers - MS GAISC ESSEC</span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></a><div class=""HaDropdown"" data-v-eda63c17=""""><div class=""HaDropdown--Trigger"" data-test=""ha-dropdown-trigger"" data-v-eda63c17=""""><!--[--><button class=""ActionShare"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent1_Toggle_ShareLinks"" aria-haspopup=""true"" aria-expanded=""false""><svg class=""svg-inline--fa fa-share-nodes"" style="""" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""share-nodes"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 448 512"" data-test=""ha-icon""><path class="""" style="""" fill=""currentColor"" d=""M352 224c53 0 96-43 96-96s-43-96-96-96s-96 43-96 96c0 4 .2 8 .7 11.9l-94.1 47C145.4 170.2 121.9 160 96 160c-53 0-96 43-96 96s43 96 96 96c25.9 0 49.4-10.2 66.6-26.9l94.1 47c-.5 3.9-.7 7.8-.7 11.9c0 53 43 96 96 96s96-43 96-96s-43-96-96-96c-25.9 0-49.4 10.2-66.6 26.9l-94.1-47c.5-3.9 .7-7.8 .7-11.9s-.2-8-.7-11.9l94.1-47C302.6 213.8 326.1 224 352 224z""></path></svg><span class=""visually-hidden"">Partager cette action</span><span class=""visually-hidden"">Ouvrir dans une nouvelle fenêtre</span></button><!--]--></div><div class=""HaDropdown--Wrapper"" data-test=""ha-dropdown-wrapper"" data-v-eda63c17=""""><!----></div></div></div></li><li class=""Action""><div class=""ActionWrapper""><a href=""https://www.helloasso.com/associations/bde-masteres-essec/evenements/merch-ms-3rd-and-wallah-dernier-round"" target=""_blank"" rel=""noreferrer noopener"" class=""ActionLink ActionLink-Event"" data-ux=""Explore_OrganizationPublicPage_Actions_ActionEvent2""><div class=""ActionImage""><img onerror=""this.setAttribute('data-error'",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,b00806254@essec.edu,https://www.helloasso.com/associations/bde-masteres-essec
BDE ISM-IAE,,,"47 Boulevard Vauban<br data-v-308d7c79=""""> 78280 Guyancourt</p></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Email""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""email"" class=""Info--Label"">Email</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowEmail"" data-test-id=""Explore_OrganizationPublicPage_Contact_ShowEmail"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher l'email</button></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Phone""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""phone"" class=""Info--Label"">Téléphone</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowPhone"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher le numéro</button></div></div><!----></div><!----><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ContactUs"" class=""HaButton-Primary HaButton-Fill HaButton-Medium HaButton-Fluid HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Contacter l'organisme</button></div><div data-v-b9b4aa75=""""><h4>Suivez-nous !</h4><a data-v-69e27402="""" href=""https://www.instagram.com/bde_ism_iae/"" target=""_blank"" rel=""noreferrer noopener"" class=""social-item social-item--website"" data-ux=""Explore_OrganizationPublicPage_Contact_socialWebSite"" title=""Aller sur notre site officiel: https://www.instagram.com/bde_ism_iae/""><svg data-v-69e27402="""" class=""svg-inline--fa fa-desktop social-item-icon"" aria-hidden=""true"" focusable=""false"" data-prefix=""fas"" data-icon=""desktop"" role=""img"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 576 512"" data-test=""ha-icon""><path class="""" fill=""currentColor"" d=""M64 0C28.7 0 0 28.7 0 64L0 352c0 35.3 28.7 64 64 64l176 0-10.7 32L160 448c-17.7 0-32 14.3-32 32s14.3 32 32 32l256 0c17.7 0 32-14.3 32-32s-14.3-32-32-32l-69.3 0L336 416l176 0c35.3 0 64-28.7 64-64l0-288c0-35.3-28.7-64-64-64L64 0zM512 64l0 224L64 288 64 64l448 0z""></path></svg><span data-v-69e27402="""" class=""social-item-label"">https://www.instagram.com/bde_ism_iae/</span></a><!----><!----><!----><!----><!----></div></div></div></section><div data-v-5138f8a6="""" class=""Container volunteer""><h4 data-v-5138f8a6="""">Devenez bénévole</h4><p data-v-5138f8a6="""">Trouvez la mission de bénévolat qui vous correspond près de chez vous ou à distance parmi les milliers disponibles.</p><a data-v-965f8073="""" data-v-5138f8a6="""" class=""volunteer__btn HaButton-Primary HaButton-Fill HaButton-Medium HaButton volunteer__btn"" target=""_blank"" data-test=""ha-button"" type=""button"" href=""http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Je m'engage</a><p data-v-5138f8a6="""">par <img data-v-5138f8a6="""" alt="""" data-nuxt-img="""" srcset=""https://cdn.helloasso.com/images/partner/logo-jva.png?quality=80&amp;img_format=webp 1x",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bde.ism.iae@gmail.com,https://www.helloasso.com/associations/bde-ism-iae
BDE PHOENAIX,,,"684 Avenue du Club Hippique<br data-v-308d7c79=""""> 13090 Aix-en-Provence</p></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Email""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""email"" class=""Info--Label"">Email</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowEmail"" data-test-id=""Explore_OrganizationPublicPage_Contact_ShowEmail"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher l'email</button></div></div><!----></div><div data-v-049e86b2="""" data-v-308d7c79="""" class=""Info Info-Phone""><div data-v-049e86b2="""" class=""Info--Wrapper""><label data-v-049e86b2="""" for=""phone"" class=""Info--Label"">Téléphone</label><div data-v-049e86b2="""" class=""Info--Field"" data-test-id=""AddressInfoField""><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ShowPhone"" class=""HaButton-Primary HaButton-Link HaButton-Large HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Afficher le numéro</button></div></div><!----></div><!----><button data-v-965f8073="""" data-v-308d7c79="""" data-ux=""Explore_OrganizationPublicPage_Contact_ContactUs"" class=""HaButton-Primary HaButton-Fill HaButton-Medium HaButton-Fluid HaButton"" data-test=""ha-button"" type=""button""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Contacter l'organisme</button></div><!----></div></div></section><div data-v-5138f8a6="""" class=""Container volunteer""><h4 data-v-5138f8a6="""">Devenez bénévole</h4><p data-v-5138f8a6="""">Trouvez la mission de bénévolat qui vous correspond près de chez vous ou à distance parmi les milliers disponibles.</p><a data-v-965f8073="""" data-v-5138f8a6="""" class=""volunteer__btn HaButton-Primary HaButton-Fill HaButton-Medium HaButton volunteer__btn"" target=""_blank"" data-test=""ha-button"" type=""button"" href=""http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c""><span data-v-965f8073="""" class=""HaButton--Icon"" data-test=""ha-button-icon""></span>Je m'engage</a><p data-v-5138f8a6="""">par <img data-v-5138f8a6="""" alt="""" data-nuxt-img="""" srcset=""https://cdn.helloasso.com/images/partner/logo-jva.png?quality=80&amp;img_format=webp 1x",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bdephoenaix@gmail.com,https://www.helloasso.com/associations/bde-phoenaix
bisoudelille,,,"rue"" focusable=""false""><path d=""M21.662 2.821C18.866.025 11.663-.252 5.124 5.422-.987 10.725-.89 17.107 3.87 20.613c4.443 3.272 10.542 3.802 15.191-1.256 5.648-6.144 5.399-13.74 2.601-16.536z""></path><path fill=""#FFF"" d=""M8.104 14.644a.567.567 0 01-.804 0h-.001l-2.53-2.529a.57.57 0 01.805-.807l2.128 2.127 6.186-6.185a.57.57 0 01.805.805l-6.589 6.589zm4.895-1.92a.546.546 0 01-.387-.93l4.047-4.047a.549.549 0 01.774 0 .549.549 0 010 .774l-4.046 4.047a.545.545 0 01-.388.156zm4.964 1.236l-1.593 1.591a.544.544 0 01-.773 0 .549.549 0 010-.774l1.594-1.594a.547.547 0 11.79.755l-.016.017-.002.005zm0-2.985l-3.085 3.084a.549.549 0 01-.774-.775l3.087-3.087a.549.549 0 01.774.775l-.002.003z""></path></svg></span></span></span></button></div></div><!--googleon: index--><div id=""__nuxt""><div id=""LayoutDefault"" class=""Layout Layout-Default""><div class=""HaToaster"" aria-atomic=""true"" data-test=""ha-toaster"" data-v-339a179c=""""><!----></div><header class=""header"" data-v-a0874238=""""><div class=""header__inner"" data-v-a0874238=""""><nav class=""header__navbar"" data-v-a0874238=""""><div class=""nav__start"" data-v-a0874238=""""><a href=""/"" class=""logo"" data-v-a0874238="""" data-v-095c0d77=""""><span class=""visually-hidden"" data-v-095c0d77=""""> Page d'accueil HelloAsso </span><picture data-test=""ha-logo"" data-v-095c0d77=""""><source media=""(max-width: 360px)"" srcset=""https://cdn.helloasso.com/images/header_public/badge-helloasso.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""><img src=""https://cdn.helloasso.com/images/header_public/logo-helloasso1.svg"" alt=""Accueil Helloasso"" data-v-095c0d77=""""></picture></a><button class=""searchBtn"" data-test=""header-searchBtn"" data-v-a0874238="""" data-v-20c8d796=""""><span class=""searchBtn__fakeInput"" data-v-20c8d796=""""><span data-v-20c8d796=""""><span class=""visually-hidden"" data-v-20c8d796="""">Rechercher</span> Une association",http://api.api-engagement.beta.gouv.fr/r/campaign/65fc47e694edc5f668c3cd5c,0714285705,bdeisolille25@gmail.com,https://www.helloasso.com/associations/bisoudelille
